"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-03-30,"RJ","Rio de Janeiro","city",553,13,"False",6718903,3304557,8.23051,0.0235
2020-03-29,"RJ","Rio de Janeiro","city",516,13,"False",6718903,3304557,7.67983,0.0252
2020-03-28,"RJ","Rio de Janeiro","city",489,9,"False",6718903,3304557,7.27797,0.0184
2020-03-27,"RJ","Rio de Janeiro","city",431,6,"False",6718903,3304557,6.41474,0.0139
2020-03-26,"RJ","Rio de Janeiro","city",368,6,"False",6718903,3304557,5.47708,0.0163
2020-03-25,"RJ","Rio de Janeiro","city",331,5,"False",6718903,3304557,4.9264,0.0151
2020-03-24,"RJ","Rio de Janeiro","city",276,3,"False",6718903,3304557,4.10781,0.0109
2020-03-23,"RJ","Rio de Janeiro","city",212,1,"False",6718903,3304557,3.15528,0.0047
2020-03-22,"RJ","Rio de Janeiro","city",168,0,"False",6718903,3304557,2.50041,0
2020-03-21,"RJ","Rio de Janeiro","city",99,0,"False",6718903,3304557,1.47345,0
2020-03-19,"RJ","Rio de Janeiro","city",56,0,"False",6718903,3304557,0.83347,0
2020-03-18,"RJ","Rio de Janeiro","city",55,0,"False",6718903,3304557,0.81859,0
2020-03-16,"RJ","Rio de Janeiro","city",23,0,"False",6718903,3304557,0.34232,0
2020-03-15,"RJ","Rio de Janeiro","city",22,0,"False",6718903,3304557,0.32743,0
2020-03-12,"RJ","Rio de Janeiro","city",13,0,"False",6718903,3304557,0.19348,0
2020-03-08,"RJ","Rio de Janeiro","city",2,0,"False",6718903,3304557,0.02977,0
2020-03-06,"RJ","Rio de Janeiro","city",1,0,"False",6718903,3304557,0.01488,0
